Sample no.,Frame no.,Pixels remaining,Label,>10k remaining?,,,,
590,,186,,0,,,runtime: ,1m4s
589,,277,,0,,,,
588,,123,,0,,,norm threshold:,0.1
587,,162,,0,,,,
586,,173,,0,,,num selected:,31
585,,98,,0,,,,
584,,148,,0,,,num >10k:,30
583,,181,,0,,,,
582,,80,,0,,,,
581,,121,,0,,,,
580,,185,,0,,,,
579,,308,,0,,,,
578,,123,,0,,,,
577,,162,,0,,,,
576,,172,,0,,,,
575,,100,,0,,,,
574,,134,,0,,,,
573,,165,,0,,,,
572,,75,,0,,,,
571,,116,,0,,,,
570,,186,,0,,,,
569,,226,,0,,,,
568,,120,,0,,,,
567,,160,,0,,,,
566,,171,,0,,,,
565,,102,,0,,,,
564,,133,,0,,,,
563,,166,,0,,,,
562,,76,,0,,,,
561,,116,,0,,,,
560,,186,,0,,,,
559,,259,,0,,,,
558,,121,,0,,,,
557,,160,,0,,,,
556,,170,,0,,,,
555,,97,,0,,,,
554,,133,,0,,,,
553,,165,,0,,,,
552,,76,,0,,,,
551,,10708,,1,,,,
550,,33464,,1,,,,
549,,64530,SCROLL,1,,,,
548,,48804,SCROLL,1,,,,
547,,39484,SCROLL,1,,,,
546,,46688,SCROLL,1,,,,
545,,97,,0,,,,
544,,131,,0,,,,
543,,165,,0,,,,
542,,74,,0,,,,
541,,119,,0,,,,
540,,181,,0,,,,
539,,403,,0,,,,
538,,121,,0,,,,
537,,161,,0,,,,
536,,172,,0,,,,
535,,99,,0,,,,
534,,133,,0,,,,
533,,166,,0,,,,
532,,77,,0,,,,
531,,116,,0,,,,
530,,186,,0,,,,
529,,285,,0,,,,
528,,125,,0,,,,
527,,165,,0,,,,
526,,172,,0,,,,
525,,98,,0,,,,
524,,131,,0,,,,
523,,165,,0,,,,
522,,4968,,0,,,,
521,,129,,0,,,,
520,,343,,0,,,,
519,,137,,0,,,,
518,,176,,0,,,,
517,,200,,0,,,,
516,,99,,0,,,,
515,,152,,0,,,,
514,,167,,0,,,,
513,,112,,0,,,,
512,,130,,0,,,,
511,,211,,0,,,,
510,,22,,0,,,,
509,,180,,0,,,,
508,,189,,0,,,,
507,,177,,0,,,,
506,,7,,0,,,,
505,,150,,0,,,,
504,,179,,0,,,,
503,,92,,0,,,,
502,,26,,0,,,,
501,,142,,0,,,,
500,,3588,,0,,,,
499,,4915,,0,,,,
498,,130,,0,,,,
497,,108,,0,,,,
496,,110,,0,,,,
495,,10,,0,,,,
494,,155,,0,,,,
493,,236,,0,,,,
492,,2,,0,,,,
491,,354,,0,,,,
490,,187,,0,,,,
489,,326,,0,,,,
488,,125,,0,,,,
487,,162,,0,,,,
486,,5072,,0,,,,
485,,132,,0,,,,
484,,247,,0,,,,
483,,163,,0,,,,
482,,76,,0,,,,
481,,115,,0,,,,
480,,181,,0,,,,
479,,5331,,0,,,,
478,,127,,0,,,,
477,,130,,0,,,,
476,,13,,0,,,,
475,,134,,0,,,,
474,,22,,0,,,,
473,,193,,0,,,,
472,,19,,0,,,,
471,,352,,0,,,,
470,,190,,0,,,,
469,,5302,,0,,,,
468,,125,,0,,,,
467,,8,,0,,,,
466,,177,,0,,,,
465,,145,,0,,,,
464,,185,,0,,,,
463,,52,,0,,,,
462,,328,,0,,,,
461,,116,,0,,,,
460,,185,,0,,,,
459,,306,,0,,,,
458,,123,,0,,,,
457,,161,,0,,,,
456,,171,,0,,,,
455,,98,,0,,,,
454,,133,,0,,,,
453,,165,,0,,,,
452,,86,,0,,,,
451,,128,,0,,,,
450,,197,,0,,,,
449,,238,,0,,,,
448,,119,,0,,,,
447,,160,,0,,,,
446,,171,,0,,,,
445,,99,,0,,,,
444,,133,,0,,,,
443,,166,,0,,,,
442,,75,,0,,,,
441,,116,,0,,,,
440,,186,,0,,,,
439,,257,,0,,,,
438,,120,,0,,,,
437,,159,,0,,,,
436,,171,,0,,,,
435,,98,,0,,,,
434,,132,,0,,,,
433,,165,,0,,,,
432,,5099,,0,,,,
431,,123,,0,,,,
430,,373,,0,,,,
429,,131,,0,,,,
428,,19,,0,,,,
427,,402,,0,,,,
426,,171,,0,,,,
425,,99,,0,,,,
424,,131,,0,,,,
423,,164,,0,,,,
422,,75,,0,,,,
421,,116,,0,,,,
420,,181,,0,,,,
419,,443,,0,,,,
418,,122,,0,,,,
417,,161,,0,,,,
416,,170,,0,,,,
415,,5193,,0,,,,
414,,224,,0,,,,
413,,3909,,0,,,,
412,,40102,SMALL SCROLL,1,,,,
411,,36222,SCROLL,1,,,,
410,,44495,SCROLL,1,,,,
409,,33226,,1,,,,
408,,47283,SCROLL,1,,,,
407,,42173,SCROLL,1,,,,
406,,29098,SCROLL,1,,,,
405,,102,,0,,,,
404,,133,,0,,,,
403,,167,,0,,,,
402,,75,,0,,,,
401,,120,,0,,,,
400,,185,,0,,,,
399,,5219,,0,,,,
398,,155,,0,,,,
397,,63,,0,,,,
396,,168,,0,,,,
395,,2378,,0,,,,
394,,17,,0,,,,
393,,167,,0,,,,
392,,75,,0,,,,
391,,117,,0,,,,
390,,186,,0,,,,
389,,228,,0,,,,
388,,121,,0,,,,
387,,171,,0,,,,
386,,5217,,0,,,,
385,,27655,,1,,,,
384,,24772,SCROLL,1,,,,
383,,170,,0,,,,
382,,5035,,0,,,,
381,,193,,0,,,,
380,,280,,0,,,,
379,,131,,0,,,,
378,,165,,0,,,,
377,,18,,0,,,,
376,,142,,0,,,,
375,,8,,0,,,,
374,,155,,0,,,,
373,,167,,0,,,,
372,,79,,0,,,,
371,,177,,0,,,,
370,,7801,,0,,,,
369,,23632,SMALL SCROLL,1,,,,
368,,20955,SCROLL,1,,,,
367,,5072,,0,,,,
366,,178,,0,,,,
365,,160,,0,,,,
364,,4,,0,,,,
363,,185,,0,,,,
362,,3,,0,,,,
361,,140,,0,,,,
360,,1,,0,,,,
359,,383,,0,,,,
358,,125,,0,,,,
357,,161,,0,,,,
356,,5148,,0,,,,
355,,20900,SMALL SCROLL,1,,,,
354,,21797,SCROLL,1,,,,
353,,24734,SCROLL,1,,,,
352,,116,,0,,,,
351,,188,,0,,,,
350,,277,,0,,,,
349,,5213,,0,,,,
348,,176,,0,,,,
347,,187,,0,,,,
346,,221,,0,,,,
345,,148,,0,,,,
344,,165,,0,,,,
343,,75,,0,,,,
342,,116,,0,,,,
341,,185,,0,,,,
340,,309,,0,,,,
339,,123,,0,,,,
338,,162,,0,,,,
337,,173,,0,,,,
336,,99,,0,,,,
335,,135,,0,,,,
334,,5257,,0,,,,
333,,76,,0,,,,
332,,121,,0,,,,
331,,225,,0,,,,
330,,23,,0,,,,
329,,139,,0,,,,
328,,169,,0,,,,
327,,159,,0,,,,
326,,146,,0,,,,
325,,0,,0,,,,
324,,185,,0,,,,
323,,76,,0,,,,
322,,159,,0,,,,
321,,2890,,0,,,,
320,,22240,SMALL SCROLL,1,,,,
319,,23718,SMALL SCROLL,1,,,,
318,,160,,0,,,,
317,,170,,0,,,,
316,,112,,0,,,,
315,,142,,0,,,,
314,,169,,0,,,,
313,,79,,0,,,,
312,,120,,0,,,,
311,,188,,0,,,,
310,,340,,0,,,,
309,,130,,0,,,,
308,,5206,,0,,,,
307,,147,,0,,,,
306,,148,,0,,,,
305,,164,,0,,,,
304,,78,,0,,,,
303,,128,,0,,,,
302,,70,,0,,,,
301,,1046,,0,,,,
300,,26288,,1,,,,
299,,38035,SCROLL,1,,,,
298,,161,,0,,,,
297,,188,,0,,,,
296,,102,,0,,,,
295,,150,,0,,,,
294,,176,,0,,,,
293,,20,,0,,,,
292,,150,,0,,,,
